Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
store	verb	/stɔːr/	1. lưu trữ; 2. cất giữ	keep, stock	discard, remove	storage (n): lưu trữ; storehouse (n): kho; in-store (adj): tại cửa hàng; stored (adj): được lưu trữ	Please store the files in the cabinet.	store data; store information; store goods
mark	verb	/mɑːrk/	1. đánh dấu; 2. chấm điểm; 3. kỷ niệm	label, indicate	erase, ignore	marker (n): bút đánh dấu; marking (n): việc đánh dấu; marked (adj): rõ rệt; hallmark (n): dấu xác nhận	He used a pencil to mark the damaged boxes.	mark the date; mark a box; mark an item
refrain	verb	/rɪˈfreɪn/	1. kiềm chế, nhịn làm điều gì (refrain from)	abstain, avoid	indulge, partake	refrain (n): đoạn điệp khúc refraining (n): sự kiềm chế	- Please refrain from using mobile phones in the meeting. - Passengers must refrain from placing bags in the aisle.	refrain from doing sth - kindly refrain - refrain immediately
select	verb	/sɪˈlekt/	1. chọn, lựa chọn	choose, pick	reject, discard	selection (n): sự lựa chọn selective (adj): có chọn lọc selector (n): bộ chọn	- Please select your preferred language on the screen. - The committee will select three finalists.	select candidate - select option - carefully select - select item
bake	verb	/beɪk/	1. nướng (bánh, thức ăn) trong lò	roast, cook	boil, steam	baker (n): thợ làm bánh bakery (n): tiệm bánh baked (adj): được nướng baking (n): việc nướng	- We bake fresh bread every morning. - The chef will bake a cake for the event.	bake bread - bake a cake - freshly baked - bake in the oven
good	adjective	/ɡʊd/	1. tốt, đạt chất lượng 2. có lợi, hữu ích	excellent, fine	bad, poor	goodness (n): lòng tốt better (adj): tốt hơn best (adj): tốt nhất goods (n): hàng hoá	- The hotel offers good service. - Sales figures show a good performance this quarter.	good quality - good condition - make a good impression - good deal
conference	noun	/ˈkɒn.fər.əns/	1. hội nghị 2. cuộc họp chính thức	convention, meeting	informal chat, private talk	confer (v): bàn bạc conferee (n): người dự họp conferencing (n): hội nghị trực tuyến	- The annual sales conference will be held in Tokyo. - Please register for the conference by Friday.	attend a conference - hold a conference - international conference - conference room
in a row	adverb phrase	/ɪn ə roʊ/	1. liên tiếp 2. kế tiếp nhau không ngắt quãng	consecutively, successively, back-to-back	intermittently, sporadically	row (n): hàng; row (v): chèo	The team won three games in a row.	days in a row, meetings in a row, weeks in a row, wins in a row
vanilla	noun/adj	/vəˈnɪl.ə/	1. (n) hương vani 2. (adj) cơ bản, không thay đổi	plain, basic, standard	flavored, exotic, fancy	vanillin (n); vanilla bean (n)	We ordered vanilla ice cream for dessert.	vanilla ice cream, vanilla flavor, vanilla extract, plain vanilla
deliver	verb	/dɪˈlɪv.ər/	1. giao hàng 2. trình bày (bài phát biểu) 3. thực hiện (lời hứa)	ship, transport, present, fulfill	collect, withhold, fail	delivery (n); deliverable (n/adj); deliverer (n); delivered (adj)	The courier will deliver the documents before noon.	deliver a package, deliver a speech, deliver results, deliver on a promise
custom - baked	adjective	/ˌkʌstəm ˈbeɪkt/	được nướng theo yêu cầu, làm riêng cho khách	made-to-order, bespoke	pre-made, mass-produced	custom (n); customize (v); customized (adj); bakery (n); baker (n)	They ordered custom-baked cupcakes for the office party.	custom-baked cake, custom-baked cookies, custom-baked goods, order a custom-baked item
multilayer	adjective	/ˌmʌltiˈleɪər/	đa lớp, gồm nhiều tầng vật liệu	multi-layered, layered, stacked	single-layer, monolayer, simple	layer (n); layered (adj); multilayered (adj); layering (n)	The factory produces multilayer printed boards for smartphones.	multilayer film, multilayer circuit board, multilayer structure, multilayer coating
bill	noun	/bɪl/	1. hóa đơn yêu cầu thanh toán 2. dự luật được đề xuất	invoice, statement	payment, receipt	bill (v): lập hóa đơn billing (n): việc lập hóa đơn billed (adj): được lập hóa đơn	- We received the bill for the hotel room. - The accounting department will send the bill tomorrow.	pay a bill, issue a bill, utility bill, hospital bill
review	noun	/rɪˈvjuː/	1. sự xem xét lại 2. bài đánh giá	evaluation, assessment	neglect, overlook	review (v): xem xét reviewer (n): người đánh giá reviewable (adj): có thể xem xét	- Management will conduct a review of safety procedures. - Please submit the report for review.	conduct a review, under review, review process, review committee
attach	verb	/əˈtætʃ/	1. đính kèm 2. gắn, nối	fasten, enclose	detach, remove	attachment (n): tệp đính kèm attached (adj): được gắn detachable (adj): có thể tháo rời	- Please attach the file to your email. - A copy of the contract is attached.	attach a file, attach a document, attach importance, attached to
order	noun	/ˈɔː.dər/	1. đơn đặt hàng 2. mệnh lệnh	purchase, request	cancellation, disorder	order (v): đặt hàng ordering (n): việc đặt hàng reorder (v): đặt lại pre-order (v/n): đặt trước	- We received an order for 200 units. - You can track your order online.	place an order, cancel an order, order number, bulk order
return	noun	/rɪˈtɜːn/	1. sự trả lại hàng 2. lợi nhuận tài chính	repayment, refund	dispatch, departure	return (v): trả lại returned (adj): được trả lại returnable (adj): có thể trả lại returnee (n): người trở về	- Customers can request a return within 30 days. - Please fill out the form to return the item.	return a product, return policy, tax return, rate of return
regard	verb/noun	/rɪˈɡɑːrd/	1. (v) xem như, đánh giá 2. (n) sự quan tâm, sự kính trọng	consider, respect	disregard, neglect	regarding (prep): về; regardless (adv): bất chấp	We regard quality as essential.	with/in regard to, regard as, hold in high regard, best regards
pastry	noun	/ˈpeɪ.stri/	1. bánh ngọt 2. lớp vỏ bột bánh nướng	cake, tart	wholemeal, entrée	pastries (n): các loại bánh; pastry chef (n): đầu bếp bánh ngọt	The café serves fresh pastry every morning.	fresh pastry, pastry shop, pastry dough, pastry chef
sample	noun/verb	/ˈsæm.pəl/	1. (n) mẫu thử 2. (v) lấy mẫu thử	specimen, example	whole, bulk	sampling (n): việc lấy mẫu; sampled (adj): đã lấy mẫu	Please take a free sample at the counter.	free sample, product sample, sample survey, sample size
early	adjective/adverb	/ˈɜːr.li/	1. sớm, trước hạn 2. giai đoạn đầu	premature, beforehand	late, delayed	earlier (adj/adv): sớm hơn; earliest (adj): sớm nhất	The flight arrived early this morning.	early morning, early stage, early payment, arrive early
raspberry	noun	/ˈræzˌber.i/	1. quả mâm xôi 2. hương vị mâm xôi	berry, fruit	lemon, peach	raspberries (n): nhiều quả; raspberry jam (n): mứt mâm xôi	She ordered a raspberry smoothie.	raspberry jam, fresh raspberry, raspberry flavor, raspberry sauce
fill	verb, noun	/fɪl/	1. làm đầy, đổ vào 2. hoàn thành (mẫu đơn) 3. chiếm (vị trí, thời gian)	load, complete, occupy	empty, drain, vacate	filler (n): chất độn filling (n): sự làm đầy refill (v): làm đầy lại fulfil(l) (v): hoàn tất	- Please fill the application form by Friday. - The technician will fill the fuel tank before departure.	fill out a form, fill in the blanks, fill a position, fill up the tank
delectable	adjective	/dɪˈlek.tə.bəl/	1. ngon lành, làm vừa miệng 2. thú vị, hấp dẫn	delicious, tasty, appetizing	unappetizing, bland, tasteless	delectably (adv): một cách ngon lành delectability (n): sự ngon lành	- Guests praised the hotel's delectable breakfast buffet. - The pastry chef presented a delectable chocolate cake.	delectable meal, delectable aroma, delectably sweet, truly delectable
treat	verb	/triːt/	đối xử, điều trị, chiêu đãi	handle, deal with, cure	mistreat, neglect	treatment (n): sự điều trị; treatable (adj): có thể điều trị; untreated (adj): chưa được điều trị	Doctors treat patients with care.	treat someone well, treat a disease, treat as
please	verb	/pliːz/	1. làm hài lòng 2. mong muốn, tùy ý	satisfy, delight, gratify	annoy, disappoint, displease	pleased (adj): hài lòng pleasure (n): niềm vui pleasing (adj): dễ chịu displeased (adj): không hài lòng	- Your prompt reply will please our overseas partners. - We aim to please every visitor.	please note, please contact, please be advised, please accept
value	noun, verb	/ˈvæl.juː/	1. giá trị, trị giá 2. tầm quan trọng 3. đánh giá cao	worth, price, appreciate	insignificance, depreciate, undervalue	valuable (adj): quý giá valuation (n): định giá valueless (adj): không giá trị evaluate (v): đánh giá	- Customers value quick and friendly service. - The accountant estimated the current market value of the assets.	market value, add value, value for money, core values
purpose	noun	/ˈpɜː.pəs/	1. mục đích, ý định 2. công dụng, chức năng	aim, objective	aimlessness, accident	purposeful (adj): có mục đích; purposely (adv): cố ý; purposeless (adj): vô mục đích; repurpose (v): tái sử dụng	The main purpose of the meeting is to review sales.	for the purpose of; serve a purpose; main/primary purpose
confirm	verb	/kənˈfɜːm/	1. xác nhận, chứng thực 2. phê chuẩn, thông qua	verify, affirm	deny, refute	confirmation (n): sự xác nhận; confirmed (adj): đã xác nhận; confirmer (n): người xác nhận	Please confirm your reservation by email.	confirm a booking; confirm details; confirm attendance; confirm an order
request	noun/verb	/rɪˈkwest/	1. (n) lời thỉnh cầu 2. (v) yêu cầu, đề nghị	ask, appeal	demand, refuse	requester (n): người yêu cầu; requested (adj): được yêu cầu; requestable (adj): có thể yêu cầu	We received a request for more information.	make/submit a request; request permission; request for sth; upon request
announce	verb	/əˈnaʊns/	1. công bố, thông báo 2. tuyên bố một cách chính thức	declare, proclaim	conceal, withhold	announcement (n): thông báo; announcer (n): người thông báo; announced (adj): được thông báo	The company will announce the results tomorrow.	announce that + clause; announce a plan; announce results; formally announce
expansion	noun	/ɪkˈspæn.ʃən/	1. sự mở rộng 2. sự gia tăng về quy mô	growth, extension	contraction, reduction	expand (v): mở rộng; expansive (adj): rộng rãi; expanded (adj): được mở rộng; expansiveness (n): sự rộng mở	The firm is planning an expansion into Asia.	market expansion; expansion plan; business expansion; rapid expansion
client	noun	/ˈklaɪənt/	1. khách hàng sử dụng dịch vụ chuyên nghiệp 2. đối tác kinh doanh 3. chương trình truy cập máy chủ	customer, patron	supplier, provider	clientele (n): nhóm khách hàng; client-oriented (adj): định hướng khách hàng	The law firm meets with international clients every Monday.	potential client; meet with a client; client satisfaction; loyal client
positive	adj	/ˈpɒz.ɪ.tɪv/	1. tích cực, lạc quan 2. dương tính (trong xét nghiệm) 3. chắc chắn, rõ ràng	optimistic, affirmative	negative, pessimistic	positively (adv): một cách tích cực; positivity (n): sự tích cực; positivist (n): người theo chủ nghĩa tích cực	The manager gave positive feedback on my report.	positive attitude; positive result; remain positive; extremely positive
determine	verb	/dɪˈtɜː.mɪn/	1. xác định, tìm ra 2. quyết định 3. khiến điều gì xảy ra	establish, decide	ignore, hesitate	determination (n): sự quyết tâm; determined (adj): quyết tâm; determining (adj): có tính quyết định	The survey will determine customer preferences.	determine the cause; determine whether; be determined to; factors that determine
